organisatie_id,werksoort_id,vestiging_id,uitvoeringsvorm,betrouwbaarheid,bron_url
org040,bedrijfsrestaurant-en-horeca,,,hoog,https://iw4.nl/facilitair-en-productie/verpakken-licht-montagewerk/
org040,voedselbewerking,,,hoog,https://iw4.nl/
org041,assemblage,,,midden,https://kansis.nl/
org041,montage,,,midden,https://kansis.nl/
org041,verpakken,,,hoog,https://kansis.nl/
org041,magazijn-en-opslag,,,hoog,https://kansis.nl/
org041,groenvoorziening-en-onderhoud,,,hoog,https://kansis.nl/
org041,openbare-ruimte-en-straatreiniging,,,hoog,https://kansis.nl/chauffeurs-in-het-groen/
org041,schoonmaak,,,hoog,https://kansis.nl/
org041,receptie-en-gastvrijheid,,,hoog,https://kansis.nl/
org041,facilitaire-dienstverlening,,,laag,https://kansis.nl/
org041,catering,,,laag,https://kansis.nl/
org042,assemblage,,,hoog,https://www.kempenplus.com/elektromontage-en-assemblage
org042,montage,,,hoog,https://www.kempenplus.com/elektromontage-en-assemblage
org042,elektrotechnische-assemblage,,,hoog,https://www.kempenplus.com/elektromontage-en-assemblage
org042,verpakken,,,hoog,https://www.kempenplus.com/werk-uitbesteden
org042,co-packing,,,midden,https://www.kempenplus.com/verpakkingen-grafische-afwerking
org042,metaalbewerking,,,hoog,https://www.kempenplus.com/werk-uitbesteden
org042,lassen,,,laag,https://www.kempenplus.com/werk-uitbesteden
org042,groenvoorziening-en-onderhoud,,,hoog,https://www.kempenplus.com/werk-uitbesteden
org042,openbare-ruimte-en-straatreiniging,,,hoog,https://www.kempenplus.com/werk-uitbesteden
org042,facilitaire-dienstverlening,,,hoog,https://www.kempenplus.com/facilitaire-dienstverlening
org042,drukwerk-en-print,,,hoog,https://www.kempenplus.com/werk-uitbesteden
org043,assemblage,,,hoog,https://www.konnected.nl/voor-werkgevers/inhuur-diensten/
org043,montage,,,hoog,https://www.konnected.nl/voor-werkgevers/inhuur-diensten/
org043,verpakken,,,hoog,https://www.konnected.nl/voor-werkgevers/inhuur-diensten/
org043,magazijn-en-opslag,,,hoog,https://www.konnected.nl/voor-werkgevers/werk-uitbesteden/
org043,metaalbewerking,,,midden,https://www.konnected.nl/voor-werkgevers/werk-uitbesteden/
org043,plaatwerk,,,laag,https://www.konnected.nl/voor-werkgevers/werk-uitbesteden/
org043,lassen,,,laag,https://www.konnected.nl/voor-werkgevers/werk-uitbesteden/
org043,groenvoorziening-en-onderhoud,,,laag,https://www.konnected.nl/ten-kate-flowers-decorations-sociaal-uitbesteden-geeft-een-grote-meerwaarde/
org043,schoonmaak,,,hoog,https://www.konnected.nl/voor-werkgevers/inhuur-diensten/
org043,glazenwassen,,,laag,https://www.konnected.nl/voor-werkgevers/inhuur-diensten/
org044,assemblage,,,midden,https://www.laborijn.nl/ik-wil-werk-uitbesteden
org044,montage,,,laag,https://www.laborijn.nl/ik-wil-werk-uitbesteden
org044,verpakken,,,laag,https://www.laborijn.nl/ik-wil-werk-uitbesteden
org044,productie-en-lijnwerk,,beide,hoog,https://www.laborijn.nl/ik-wil-werk-uitbesteden
org045,assemblage,,,hoog,https://larcom.nl/diensten/werk-uitbesteden/montage-assemblage
org045,montage,,,hoog,https://larcom.nl/diensten/werk-uitbesteden/montage-assemblage
org045,elektrotechnische-assemblage,,,hoog,https://larcom.nl/diensten/werk-uitbesteden
org045,verpakken,,,hoog,https://larcom.nl/diensten/werk-uitbesteden/montage-assemblage
org045,magazijn-en-opslag,,,laag,https://larcom.nl/diensten/werk-uitbesteden/verpakken
org045,transport-en-koeriersdiensten,,,hoog,https://larcom.nl/
org045,post-en-pakketbezorging,,,hoog,https://larcom.nl/
org045,lassen,,,laag,https://larcom.nl/diensten/werk-uitbesteden
org045,houtbewerking,,,laag,https://larcom.nl/diensten/werk-uitbesteden
org045,groenvoorziening-en-onderhoud,,,hoog,https://larcom.nl/
org045,openbare-ruimte-en-straatreiniging,,,laag,https://larcom.nl/diensten/groenvoorziening/groenonderhoud
org045,administratieve-ondersteuning,,,hoog,https://larcom.nl/
org046,verpakken,,,hoog,https://www.midwerk.nl/werk-uitbesteden-met-impact
org046,groenvoorziening-en-onderhoud,,,hoog,https://www.midwerk.nl/werk-uitbesteden-met-impact
org046,schoonmaak,,,hoog,https://www.midwerk.nl/werk-uitbesteden-met-impact
org046,wasserij-en-linnenservice,,,handmatig,https://www.midwerk.nl/werk-uitbesteden-met-impact
org046,naaiatelier-en-confectie,,,hoog,https://www.midwerk.nl/werk-uitbesteden-met-impact
org046,drukwerk-en-print,,,hoog,https://www.midwerk.nl/werk-uitbesteden-met-impact
org046,kringloop-en-hergebruik,,,hoog,https://www.midwerk.nl/
org047,assemblage,,,hoog,https://www.midzuid.nl/voor-werkgevers/werk-uitbesteden
org047,montage,,,hoog,https://www.midzuid.nl/voor-werkgevers/werk-uitbesteden
org047,verpakken,,,hoog,https://www.midzuid.nl/voor-werkgevers/werk-uitbesteden
org047,co-packing,,,hoog,https://www.midzuid.nl/voor-werkgevers/werk-uitbesteden
org047,magazijn-en-opslag,,,hoog,https://www.midzuid.nl/
org047,groenvoorziening-en-onderhoud,,,hoog,https://www.midzuid.nl/in-de-buurt/groenbeheer
org047,openbare-ruimte-en-straatreiniging,,,midden,https://www.midzuid.nl/in-de-buurt/groenbeheer
org047,demontage-en-recycling,,,laag,https://www.midzuid.nl/voor-werkgevers/werk-uitbesteden
org047,fietsenwerkplaats,,,handmatig,https://www.midzuid.nl/
org048,assemblage,,,hoog,https://mtb.nl/onze-diensten/verpakkingsdiensten/
org048,montage,,,hoog,https://mtb.nl/
org048,elektrotechnische-assemblage,,,hoog,https://mtb.nl/onze-diensten/elektromontage-en-bekabeling/
org048,verpakken,,,hoog,https://mtb.nl/onze-diensten/verpakkingsdiensten/
